"location","violation_desc","lon","lat","violation"
"4200 N 8TH ST","SIDEWALK",-75.1399232843718,40.0164802257081,"SIDEWALK"
"1300 W ERIE AVE","CORNER CLEARANCE",-75.1494528886092,40.0090231307764,"CORNER CLEARANCE"
"1 APSLEY ST","SIDEWALK",-75.1606133346665,40.0246686213112,"SIDEWALK"
"1300 N 59TH ST","CROSSWALK",-75.237863046153,39.9723192134516,"CROSSWALK"
"700 W RAYMOND ST","SIDEWALK",-75.1382324363614,40.0211440235889,"SIDEWALK"
"3300 N WATER ST","CORNER CLEARANCE",-75.1275463633472,40.0007214371532,"CORNER CLEARANCE"
"3435 REACH ST","SIDEWALK",-75.1152831300316,40.000689465926,"SIDEWALK"
"3435 REACH ST","SIDEWALK",-75.1152831300316,40.000689465926,"SIDEWALK"
"1734 N 61ST ST","SIDEWALK",-75.2422132840527,39.9779579517267,"SIDEWALK"
"1353 N ALDEN ST","CORNER CLEARANCE",-75.2353785107604,39.9725949334318,"CORNER CLEARANCE"
"5716 HUNTER ST","SIDEWALK",-75.2370627887175,39.9769097557617,"SIDEWALK"
"5400 W THOMPSON ST","CORNER CLEARANCE",-75.2295103378489,39.9725919467804,"CORNER CLEARANCE"
"200 N SIMPSON ST","SIDEWALK",-75.249132547219,39.9669536207904,"SIDEWALK"
"1400 N FELTON ST","CROSSWALK",-75.244265073578,39.9730740991834,"CROSSWALK"
"5230 N AMERICAN ST","SIDEWALK",-75.127713595637,40.0303127540057,"SIDEWALK"
"3500 F ST","SIDEWALK",-75.1163594965546,40.0018504702047,"SIDEWALK"
"4400 LUDLOW ST","SIDEWALK",-75.209438,39.957275,"SIDEWALK"
"2400 S 5TH ST","CROSSWALK",-75.155918,39.918668,"CROSSWALK"
"4800 YOCUM ST","SIDEWALK",-75.2130362178567,39.9416719010167,"SIDEWALK"
"400 N PERCY ST","SIDEWALK   CC",-75.153685,39.960525,"SIDEWALK"
"1200 E COLUMBIA AVE","CORNER CLEARANCE",-75.130888,39.971137,"CORNER CLEARANCE"
"200 CARSON ST","SIDEWALK",-75.223943,40.028428,"SIDEWALK"
"4500 HIGH ST","SIDEWALK",-75.228053,40.02834,"SIDEWALK"
"1000 NOBLE ST","CORNER CLEARANCE  CC",-75.155627,39.959442,"CORNER CLEARANCE"
"100 FAIRMOUNT AVE","SIDEWALK",-75.139158,39.961393,"SIDEWALK"
"7000 GROVERS AVE","CORNER CLEARANCE",-75.2336957404153,39.9136497563514,"CORNER CLEARANCE"
"600 PANAMA ST","SIDEWALK   CC",-75.152377,39.944325,"SIDEWALK"
"900 N TANEY ST","SIDEWALK",-75.1797910404029,39.9734063004051,"SIDEWALK"
"1400 S PATTON ST","SIDEWALK",-75.1966175478492,39.9359922078956,"SIDEWALK"
"3100 DICKINSON ST","CORNER CLEARANCE",-75.1959672716172,39.9352843143389,"CORNER CLEARANCE"
"1700 OLIVE ST","SIDEWALK",-75.1660601281825,39.9675791892134,"SIDEWALK"
"200 BELGRADE ST","CORNER CLEARANCE",-75.134283,39.972365,"CORNER CLEARANCE"
"200 BELGRADE ST","CORNER CLEARANCE",-75.134433,39.972222,"CORNER CLEARANCE"
"2000 CYPRESS ST","SIDEWALK   CC",-75.175123,39.947823,"SIDEWALK"
"2300 CLEARFIELD ST","CORNER CLEARANCE",-75.10927,39.98773,"CORNER CLEARANCE"
"500 GREENWICH ST","SIDEWALK",-75.154775,39.929598,"SIDEWALK"
"2531 N SPANGLER ST","SIDEWALK",-75.1861980127386,39.9952290482739,"SIDEWALK"
"165 N DEWEY ST","CORNER CLEARANCE",-75.2429203934077,39.9646251380666,"CORNER CLEARANCE"
"5440 MALCOLM ST","SIDEWALK",-75.2297731851111,39.9444063119846,"SIDEWALK"
"600 S 19TH ST","CORNER CLEARANCE  CC",-75.173523,39.944167,"CORNER CLEARANCE"
"6300 WHEELER ST","SIDEWALK",-75.229337034842,39.924330545924,"SIDEWALK"
"3300 LUDLOW ST","SIDEWALK   CC",-75.191445,39.955245,"SIDEWALK"
"921 S 8TH ST","CORNER CLEARANCE",-75.156513,39.937812,"CORNER CLEARANCE"
"4400 CRESSON ST","CORNER CLEARANCE",-75.225412,40.027027,"CORNER CLEARANCE"
"1000 BAINBRIDGE ST","CROSSWALK    CC",-75.1603,39.942143,"CROSSWALK"
"60 E WISTER ST","SIDEWALK",-75.1642985230133,40.0305787415904,"SIDEWALK"
"4100 FRANKFORD AVE","SIDEWALK",-75.090918,40.007063,"SIDEWALK"
"5100 CHANCELLOR ST","SIDEWALK",-75.223905,39.955923,"SIDEWALK"
"6500 HAWTHORNE ST","CROSSWALK",-75.057728,40.032125,"CROSSWALK"
"1100 S 3RD ST","CROSSWALK",-75.149452,39.932988,"CROSSWALK"
"6700 RUTLAND ST","CROSSWALK",-75.072947,40.042787,"CROSSWALK"
"6700 RUTLAND ST","CORNER CLEARANCE",-75.072454617015,40.0433432218841,"CORNER CLEARANCE"
"3100 RUTH ST","SIDEWALK",-75.1150070450359,39.9950256979987,"SIDEWALK"
"1 CALLOWHILL ST","CORNER CLEARANCE  CC",-75.1391770020571,39.9568355520577,"CORNER CLEARANCE"
"2200 NORRIS ST","CORNER CLEARANCE",-75.129903,39.978303,"CORNER CLEARANCE"
"3222 W OXFORD ST","SIDEWALK",-75.1874318169107,39.9810590586673,"SIDEWALK"
"2000 CUTHBERT ST","SIDEWALK   CC",-75.173185,39.95468,"SIDEWALK"
"900 N TANEY ST","SIDEWALK",-75.179672,39.973885,"SIDEWALK"
"4300 MANAYUNK AVE","SIDEWALK",-75.217352,40.028285,"SIDEWALK"
"200 CARSON ST","SIDEWALK",-75.2240922076258,40.0283116846323,"SIDEWALK"
"4300 SHELMIRE AVE","CORNER CLEARANCE",-75.0340881769368,40.0359523573132,"CORNER CLEARANCE"
"1700 TITAN ST","SIDEWALK",-75.17233,39.935328,"SIDEWALK"
"4200 N PENN ST","CORNER CLEARANCE",-75.092127,40.01029,"CORNER CLEARANCE"
"4511 N 19TH ST","SIDEWALK",-75.1563469570611,40.0232458946368,"SIDEWALK"
"1500 SELLERS ST","CROSSWALK",-75.086527,40.014025,"CROSSWALK"
"1000 GERMANTOWN AVE","CROSSWALK",-75.138702,39.966382,"CROSSWALK"
"4222 COTTMAN AVE","SIDEWALK",-75.0388342013703,40.0346173046417,"SIDEWALK"
"1300 WELLS ST","SIDEWALK",-75.0771703949854,40.0437645214589,"SIDEWALK"
"921 S 8TH ST","CORNER CLEARANCE",-75.15651,39.937793,"CORNER CLEARANCE"
"200 S SYDENHAM ST","SIDEWALK   CC",-75.16682,39.94919,"SIDEWALK"
"1300 HOWELL ST","SIDEWALK",-75.0818815680591,40.0335277801802,"SIDEWALK"
"1300 HOWELL ST","SIDEWALK",-75.0818815680591,40.0335277801802,"SIDEWALK"
"1351 HOWELL ST","SIDEWALK",-75.0818815680591,40.0335277801802,"SIDEWALK"
"700 GAUL ST","CROSSWALK",-75.12682,39.975867,"CROSSWALK"
"625 E RAYMOND ST","SIDEWALK",-75.1120563494554,40.0178407588118,"SIDEWALK"
"500 ALCOTT ST","SIDEWALK",-75.1026088029467,40.0432698348372,"SIDEWALK"
"3200 TAMPA ST","SIDEWALK",-75.1184081748514,39.9974393610439,"SIDEWALK"
"1399 W VENANGO ST","CROSSWALK",-75.151323,40.007417,"CROSSWALK"
"2000 N 16TH ST","CORNER CLEARANCE",-75.160099296902,39.9838495775123,"CORNER CLEARANCE"
"1200 N ORIANNA ST","SIDEWALK",-75.14247,39.969107,"SIDEWALK"
"300 LYCEUM AVE","CORNER CLEARANCE",-75.22025,40.028945,"CORNER CLEARANCE"
"300 LYCEUM AVE","CORNER CLEARANCE",-75.220227,40.028855,"CORNER CLEARANCE"
"300 LYCEUM AVE","CORNER CLEARANCE",-75.2199566961576,40.0291848897859,"CORNER CLEARANCE"
"4100 LOCUST ST","SIDEWALK",-75.205703,39.953275,"SIDEWALK"
"3300 CHERRY ST","SIDEWALK",-75.190408,39.9583,"SIDEWALK"
"3300 CHERRY ST","SIDEWALK",-75.190372,39.958408,"SIDEWALK"
"3320 POWELTON AVE","SIDEWALK",-75.190307,39.960478,"SIDEWALK"
"3300 CHERRY ST","SIDEWALK   CC",-75.190328,39.958368,"SIDEWALK"
"7000 KEYSTONE ST","CROSSWALK",-75.036532,40.025273,"CROSSWALK"
"400 LYCEUM AVE","CORNER CLEARANCE",-75.216318,40.03185,"CORNER CLEARANCE"
"2615 S 16TH ST","SIDEWALK",-75.1744388445381,39.9179301649137,"SIDEWALK"
"1600 SELLERS ST","CROSSWALK",-75.086333,40.013878,"CROSSWALK"
"1700 MONUMENT ST","SIDEWALK",-75.163072,39.982722,"SIDEWALK"
"400 PIERCE ST","SIDEWALK",-75.1533756723919,39.9264351170608,"SIDEWALK"
"1799 TULIP ST","CROSSWALK",-75.1306998832771,39.9759759908677,"CROSSWALK"
"1300 CARLTON ST","SIDEWALK   CC",-75.160553,39.959508,"SIDEWALK"
"1400 BENNER ST","SIDEWALK",-75.0799334700514,40.0351296054833,"SIDEWALK"
"1800 WILDER ST","SIDEWALK",-75.17518834207,39.9330619523307,"SIDEWALK"
"800 ELLSWORTH ST","SIDEWALK",-75.157897,39.93496,"SIDEWALK"
"1200 S 6TH ST","CROSSWALK",-75.15417,39.933585,"CROSSWALK"
"2500 HOLBROOK ST","SIDEWALK",-75.2372934415975,39.9162199869191,"SIDEWALK"
"500 CROSS ST","SIDEWALK",-75.153798,39.929102,"SIDEWALK"
"400 N PRESTON ST","CORNER CLEARANCE",-75.203812,39.960262,"CORNER CLEARANCE"
"1 N 16TH ST","SIDEWALK   CC",-75.166635,39.953597,"SIDEWALK"
"198 ROSELYN ST","SIDEWALK",-75.1229381930731,40.0423101740342,"SIDEWALK"
"1900 N 18TH ST","SIDEWALK",-75.16337,39.983457,"SIDEWALK"
"100 TITAN ST","CROSSWALK",-75.146192,39.931745,"CROSSWALK"
"1700 TULIP ST","CROSSWALK",-75.131126079559,39.9752345899163,"CROSSWALK"
"1700 MEMPHIS ST","CROSSWALK",-75.129613,39.975917,"CROSSWALK"
